,bc48,6/8,6/4,2/4,2/2,4/4,12/8,12/4,bc24,5/8,5/4,bc4,bc8,bc16,bc12,7/8,7/4,3/4,9/8,9/4
bc48,0.0,5.805562093086122,5.807854381053894,8.818938113069509,8.833929724963541,9.833053939001935,10.00347605660662,10.003599046425624,14.169854075983336,15.385091474901706,15.414451389001199,16.474650862156608,16.474650862156608,16.474650862156608,20.352271610516084,41.42634664427689,128.43784117333817,135.63483732608427,237.7865440637508,237.8344067415258
6/8,5.805562093086122,0.0,0.17943368156025197,6.395661325812598,6.419258952444759,9.19434166453007,9.491653631953305,9.491788546242045,10.085427743490046,14.2818757524909,14.325733683390066,16.195369411495964,16.195369411495964,16.195369411495964,18.58334321193376,41.04660370845179,128.02491843251704,134.9867942996034,237.28915997467846,237.33709295897398
6/4,5.807854381053894,0.17943368156025197,0.0,6.37917566937267,6.403063821310861,9.193280570097627,9.493489174884724,9.492716152776456,10.087619562709659,14.283062507618181,14.322829817394481,16.19716226031538,16.19716226031538,16.19716226031538,18.584736198690763,41.04724958411214,128.01029777118785,134.93206012232474,237.23904295878887,237.2868941137295
2/4,8.818938113069509,6.395661325812598,6.37917566937267,0.0,0.9816719338482303,9.891206149307884,10.693907149679662,10.691070494057708,11.085931087833938,13.968639800234874,13.957798367904088,17.120437965037727,17.120437965037727,17.120437965037727,17.256390552873274,44.94977756595464,128.3969426692691,135.2661459419567,236.93117045556505,236.97890316381574
2/2,8.833929724963541,6.419258952444759,6.403063821310861,0.9816719338482303,0.0,9.902279314226272,10.702283182497291,10.69945424775465,11.099532927789499,13.974978003832206,13.963206745795393,17.123362155032957,17.123362155032957,17.123362155032957,17.264174578147514,44.93588516262642,128.55048724370604,135.41324668817214,237.10153083377,237.1492343267748
4/4,9.833053939001935,9.19434166453007,9.193280570097627,9.891206149307884,9.902279314226272,0.0,1.6491036802046521,1.644681145092648,13.71347694657254,16.3932076874623,16.408369836920212,18.50991098593475,18.50991098593475,18.50991098593475,21.636796941696215,43.719101754407966,129.33078444750072,135.98459944697788,238.21245862508997,238.25991108778035
12/8,10.00347605660662,9.491653631953305,9.493489174884724,10.693907149679662,10.702283182497291,1.6491036802046521,0.0,0.05704803180007531,14.239322435751257,16.929030506389626,16.953235336762962,18.62092275039319,18.62092275039319,18.62092275039319,21.776065712195408,43.43237654081257,129.23226812324705,135.99697821952037,238.2527748931739,238.30034656753298
12/4,10.003599046425624,9.491788546242045,9.492716152776456,10.691070494057708,10.69945424775465,1.644681145092648,0.05704803180007531,0.0,14.239429539341199,16.929064516170087,16.951955392066036,18.621048625853284,18.621048625853284,18.621048625853284,21.776159451283764,43.432413144223695,129.22915309745662,135.9790815893919,238.23727815693536,238.28482236007662
bc24,14.169854075983336,10.085427743490046,10.087619562709659,11.085931087833938,11.099532927789499,13.71347694657254,14.239322435751257,14.239429539341199,0.0,13.631479482247123,13.716682743175546,18.343713502168537,18.343713502168537,18.343713502168537,20.116008064341784,42.45038065568436,129.0476036342934,135.2542797603604,237.81607760091248,237.86385677131855
5/8,15.385091474901706,14.2818757524909,14.283062507618181,13.968639800234874,13.974978003832206,16.3932076874623,16.929030506389626,16.929064516170087,13.631479482247123,0.0,1.362698728389227,16.864219397332974,16.864219397332974,16.864219397332974,19.512739497327257,43.29333165881707,128.77133175109674,135.83287480714105,237.740025579624,237.78793470475412
5/4,15.414451389001199,14.325733683390066,14.322829817394481,13.957798367904088,13.963206745795393,16.408369836920212,16.953235336762962,16.951955392066036,13.716682743175546,1.362698728389227,0.0,16.881116206100554,16.881116206100554,16.881116206100554,19.560502042850658,43.277221216616695,128.81948835135762,135.80295575940647,237.69079095668545,237.7385711565837
bc4,16.474650862156608,16.195369411495964,16.19716226031538,17.120437965037727,17.123362155032957,18.50991098593475,18.62092275039319,18.621048625853284,18.343713502168537,16.864219397332974,16.881116206100554,0.0,0.0,0.0,16.688555934928594,36.843581564989265,127.92368783359522,136.31348574006878,238.09116357916272,238.13908922807133
bc8,16.474650862156608,16.195369411495964,16.19716226031538,17.120437965037727,17.123362155032957,18.50991098593475,18.62092275039319,18.621048625853284,18.343713502168537,16.864219397332974,16.881116206100554,0.0,0.0,0.0,16.688555934928594,36.843581564989265,127.92368783359522,136.31348574006878,238.09116357916272,238.13908922807133
bc16,16.474650862156608,16.195369411495964,16.19716226031538,17.120437965037727,17.123362155032957,18.50991098593475,18.62092275039319,18.621048625853284,18.343713502168537,16.864219397332974,16.881116206100554,0.0,0.0,0.0,16.688555934928594,36.843581564989265,127.92368783359522,136.31348574006878,238.09116357916272,238.13908922807133
bc12,20.352271610516084,18.58334321193376,18.584736198690763,17.256390552873274,17.264174578147514,21.636796941696215,21.776065712195408,21.776159451283764,20.116008064341784,19.512739497327257,19.560502042850658,16.688555934928594,16.688555934928594,16.688555934928594,0.0,49.44547109283083,126.93418584574793,134.40966562758052,234.5808877620559,234.62942275674976
7/8,41.42634664427689,41.04660370845179,41.04724958411214,44.94977756595464,44.93588516262642,43.719101754407966,43.43237654081257,43.432413144223695,42.45038065568436,43.29333165881707,43.277221216616695,36.843581564989265,36.843581564989265,36.843581564989265,49.44547109283083,0.0,131.26742831308334,142.14209288935757,244.69621999891916,244.74311574290644
7/4,128.43784117333817,128.02491843251704,128.01029777118785,128.3969426692691,128.55048724370604,129.33078444750072,129.23226812324705,129.22915309745662,129.0476036342934,128.77133175109674,128.81948835135762,127.92368783359522,127.92368783359522,127.92368783359522,126.93418584574793,131.26742831308334,0.0,135.30491272188618,177.03802186055907,177.10177123239885
3/4,135.63483732608427,134.9867942996034,134.93206012232474,135.2661459419567,135.41324668817214,135.98459944697788,135.99697821952037,135.9790815893919,135.2542797603604,135.83287480714105,135.80295575940647,136.31348574006878,136.31348574006878,136.31348574006878,134.40966562758052,142.14209288935757,135.30491272188618,0.0,116.39711839650614,116.42582987041483
9/8,237.7865440637508,237.28915997467846,237.23904295878887,236.93117045556505,237.10153083377,238.21245862508997,238.2527748931739,238.23727815693536,237.81607760091248,237.740025579624,237.69079095668545,238.09116357916272,238.09116357916272,238.09116357916272,234.5808877620559,244.69621999891916,177.03802186055907,116.39711839650614,0.0,0.2001756656984068
9/4,237.8344067415258,237.33709295897398,237.2868941137295,236.97890316381574,237.1492343267748,238.25991108778035,238.30034656753298,238.28482236007662,237.86385677131855,237.78793470475412,237.7385711565837,238.13908922807133,238.13908922807133,238.13908922807133,234.62942275674976,244.74311574290644,177.10177123239885,116.42582987041483,0.2001756656984068,0.0
