Meter,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,mc2,mc3,mc4,mc5,mc6,mc7,mc9,mc12
2/2,0.0,122.96185172555836,178.83979555173738,0.0,173.749468041702,175.82111104342277,174.64835990929055,176.74735806388657,187.2252844968499,181.58253265065102,202.3765945058075,167.08506673674978,173.8463889725312,188.73862084418624,140.70426693834372,212.56600392863913,133.9016049171524,224.25990885231636,167.64818292103033,198.44266363003447,191.4734862987626,133.10056444406095
2/4,122.96185172555836,0.0,184.44159670516805,122.96185172555836,180.3813562651877,155.46288682832596,171.6832022424461,174.43491348523182,159.4735696866265,189.02562364811968,179.94222188596285,175.67480864776522,188.2547948634109,204.43646547157573,119.34258136628497,210.14469569357226,111.76111251845583,226.61825444631077,175.98631511149316,205.61023496153462,188.3325183439706,141.46508041767436
3/4,178.83979555173738,184.44159670516805,0.0,178.83979555173738,176.31540054966183,172.0253618748258,172.26037807139264,169.24971985040293,169.21201484611808,184.98532450332192,183.28540180610753,166.89983737906195,172.62917800138752,157.63686943757085,154.26009476462826,174.56345309537292,134.86441493141726,208.03306916275994,145.8522760756516,193.24002361420264,179.9888051113155,131.11208336591005
4/4,0.0,122.96185172555836,178.83979555173738,0.0,173.749468041702,175.82111104342277,174.64835990929055,176.74735806388657,187.2252844968499,181.58253265065102,202.3765945058075,167.08506673674978,173.8463889725312,188.73862084418624,140.70426693834372,212.56600392863913,133.9016049171524,224.25990885231636,167.64818292103033,198.44266363003447,191.4734862987626,133.10056444406095
5/4,173.749468041702,180.3813562651877,176.31540054966183,173.749468041702,0.0,183.153787152265,178.25079651237544,182.9611541814199,174.9209851025375,166.7470555735157,185.94476480109654,173.6023233581597,181.94223555823527,170.2847464293788,164.0148162070127,207.298127861264,141.37880449969694,199.13161417928399,171.09239275898375,198.35617069015527,197.94110540306082,146.08601427643845
6/4,175.82111104342277,155.46288682832596,172.0253618748258,175.82111104342277,183.153787152265,0.0,166.09808386424916,177.79147451864142,155.22911013115947,187.29293271551234,148.70578949033572,168.9916639602218,182.99193968721767,186.54724568484352,145.8990659400576,193.80744896855387,132.1762145790193,211.26312293144582,152.32450246465507,198.94369685308047,197.45631872419563,130.10434337022343
7/4,174.64835990929055,171.6832022424461,172.26037807139264,174.64835990929055,178.25079651237544,166.09808386424916,0.0,169.99138128945535,166.09209215715134,181.3102817818282,167.23751707124705,150.13109330247295,177.49598682916871,176.9114158766729,148.49315137139496,194.88040236915123,129.941317773943,202.26681864612587,161.26076850999098,188.56613859294896,192.7077056960418,135.38431082167784
9/4,176.74735806388657,174.43491348523182,169.24971985040293,176.74735806388657,182.9611541814199,177.79147451864142,169.99138128945535,0.0,177.21244642075962,186.32002297263816,161.40058880213053,172.71405619014888,174.87681645084632,188.53613331584495,154.66733463759613,199.37719983211645,138.94772478173246,208.779944307642,169.38156780042198,196.86128811814316,200.30270817483722,145.8398894166368
12/4,187.2252844968499,159.4735696866265,169.21201484611808,187.2252844968499,174.9209851025375,155.22911013115947,166.09209215715134,177.21244642075962,0.0,186.20562189083887,150.99263242056713,167.642621844215,191.13796274536836,182.50699482219937,144.1031493993535,220.55523317842176,116.33102007895805,209.09106605001108,186.017080760235,193.70078599451492,188.30088719002688,144.04714721546318
5/8,181.58253265065102,189.02562364811968,184.98532450332192,181.58253265065102,166.7470555735157,187.29293271551234,181.3102817818282,186.32002297263816,186.20562189083887,0.0,183.25062452753585,179.9676088540831,185.8477280891391,181.96039134506017,167.37333404700487,206.02394385260368,151.34230167271983,214.91151723877746,173.52100052706888,203.1769547164839,205.37967956994626,151.0723922226728
6/8,202.3765945058075,179.94222188596285,183.28540180610753,202.3765945058075,185.94476480109654,148.70578949033572,167.23751707124705,161.40058880213053,150.99263242056713,183.25062452753585,0.0,175.07599255035015,186.73820505051674,193.50135228712716,146.38903195378725,198.88220320628963,133.51709332252253,194.23382596673193,175.84615598611487,195.5303278344403,202.50953801567348,157.2135304574815
7/8,167.08506673674978,175.67480864776522,166.89983737906195,167.08506673674978,173.6023233581597,168.9916639602218,150.13109330247295,172.71405619014888,167.642621844215,179.9676088540831,175.07599255035015,0.0,172.72928778306323,158.84321660604144,149.6159447274491,196.54274256400598,127.5431420525998,203.53236156289353,159.6199210775104,185.48316814368914,190.5534154399579,133.27289906533633
9/8,173.8463889725312,188.2547948634109,172.62917800138752,173.8463889725312,181.94223555823527,182.99193968721767,177.49598682916871,174.87681645084632,191.13796274536836,185.8477280891391,186.73820505051674,172.72928778306323,0.0,176.91973167428083,159.9287012356502,196.87404232676545,146.64632607645012,208.0464956318197,165.1154524029879,198.66302699494705,192.6500748751166,144.06875236492357
12/8,188.73862084418624,204.43646547157573,157.63686943757085,188.73862084418624,170.2847464293788,186.54724568484352,176.9114158766729,188.53613331584495,182.50699482219937,181.96039134506017,193.50135228712716,158.84321660604144,176.91973167428083,0.0,152.07262472845562,188.54208875303115,125.24303867504585,197.2956625864865,139.14487411990928,185.05010653197397,186.47225540048456,123.87141894662398
mc2,140.70426693834372,119.34258136628497,154.26009476462826,140.70426693834372,164.0148162070127,145.8990659400576,148.49315137139496,154.66733463759613,144.1031493993535,167.37333404700487,146.38903195378725,149.6159447274491,159.9287012356502,152.07262472845562,0.0,169.06511094097468,68.3251262839321,180.57286203022937,128.4182854769154,178.06672947934504,171.8119041457906,110.40899233274162
mc3,212.56600392863913,210.14469569357226,174.56345309537292,212.56600392863913,207.298127861264,193.80744896855387,194.88040236915123,199.37719983211645,220.55523317842176,206.02394385260368,198.88220320628963,196.54274256400598,196.87404232676545,188.54208875303115,169.06511094097468,0.0,164.48992208245014,212.0142322621364,109.96251949029514,214.55469046970228,178.1663914590809,139.76806416515325
mc4,133.9016049171524,111.76111251845583,134.86441493141726,133.9016049171524,141.37880449969694,132.1762145790193,129.941317773943,138.94772478173246,116.33102007895805,151.34230167271983,133.51709332252253,127.5431420525998,146.64632607645012,125.24303867504585,68.3251262839321,164.48992208245014,0.0,174.17738155575927,122.33224748216223,161.58396790697896,156.24926556062192,86.72844231401905
mc5,224.25990885231636,226.61825444631077,208.03306916275994,224.25990885231636,199.13161417928399,211.26312293144582,202.26681864612587,208.779944307642,209.09106605001108,214.91151723877746,194.23382596673193,203.53236156289353,208.0464956318197,197.2956625864865,180.57286203022937,212.0142322621364,174.17738155575927,0.0,190.28096300684027,220.71693356913957,226.98925669216902,177.5846298027839
mc6,167.64818292103033,175.98631511149316,145.8522760756516,167.64818292103033,171.09239275898375,152.32450246465507,161.26076850999098,169.38156780042198,186.017080760235,173.52100052706888,175.84615598611487,159.6199210775104,165.1154524029879,139.14487411990928,128.4182854769154,109.96251949029514,122.33224748216223,190.28096300684027,0.0,185.68103923424908,168.2520758775863,86.27488665782677
mc7,198.44266363003447,205.61023496153462,193.24002361420264,198.44266363003447,198.35617069015527,198.94369685308047,188.56613859294896,196.86128811814316,193.70078599451492,203.1769547164839,195.5303278344403,185.48316814368914,198.66302699494705,185.05010653197397,178.06672947934504,214.55469046970228,161.58396790697896,220.71693356913957,185.68103923424908,0.0,212.58283876293,165.4540374497984
mc9,191.4734862987626,188.3325183439706,179.9888051113155,191.4734862987626,197.94110540306082,197.45631872419563,192.7077056960418,200.30270817483722,188.30088719002688,205.37967956994626,202.50953801567348,190.5534154399579,192.6500748751166,186.47225540048456,171.8119041457906,178.1663914590809,156.24926556062192,226.98925669216902,168.2520758775863,212.58283876293,0.0,157.30155270000807
mc12,133.10056444406095,141.46508041767436,131.11208336591005,133.10056444406095,146.08601427643845,130.10434337022343,135.38431082167784,145.8398894166368,144.04714721546318,151.0723922226728,157.2135304574815,133.27289906533633,144.06875236492357,123.87141894662398,110.40899233274162,139.76806416515325,86.72844231401905,177.5846298027839,86.27488665782677,165.4540374497984,157.30155270000807,0.0
