,0_16n,3_16n,1_16n,8_16n,14_16n,10_16n,2_16n,9_16n,4_16n,6_16n,7_16n,11_16n,5_16n,15_16n,13_16n,12_16n
0_16n,0.0,65.60604400618665,173.5763721363458,234.8166784664933,327.7971095763207,345.47836768278734,347.1649468276412,407.5567602647627,450.1105574097919,452.0149179701823,518.7831249626513,528.6276866103963,748.0683861170025,758.2064236027935,995.7512550508911,1169.1780313140928
3_16n,65.60604400618665,0.0,123.27533025555307,185.62526516275219,384.4186909940565,292.5135676178901,293.67720338232255,355.216301034321,503.97525134777,397.56827045815766,463.66454541154854,584.4869433882691,802.9394702248666,813.9401858522459,1051.0952893938938,1224.5454229855268
1_16n,173.5763721363458,123.27533025555307,0.0,66.8820736240297,497.65404494281853,172.73607426737132,173.6031727572863,234.86512055381291,621.9839712061703,279.8602502544199,345.6910592833014,701.7213023436059,921.2173090150559,931.3402854957282,1169.067694071761,1342.5628960492704
8_16n,234.8166784664933,185.62526516275219,66.8820736240297,0.0,555.9996919978105,115.92598815615925,118.63339457694569,173.6299296892372,681.7608463675122,222.6808394546598,288.74333670226054,760.3091644423185,981.02205260191,990.6076617397151,1228.1432932689986,1401.657878866894
14_16n,327.7971095763207,384.4186909940565,497.65404494281853,555.9996919978105,0.0,667.5721575388211,669.4771257259864,728.1513217072443,157.27634408466176,773.6865892715807,839.7995779819996,232.47439433714231,434.67791966776116,445.9138893563,686.7318653006047,858.4373600327095
10_16n,345.47836768278734,292.5135676178901,172.73607426737132,115.92598815615925,667.5721575388211,0.0,24.445235951211078,68.64706911239944,792.892859010804,114.0222362777755,176.65231356127603,872.3372751914152,1092.1827488795384,1102.1864058057645,1340.0438875614948,1513.5748783851022
2_16n,347.1649468276412,293.67720338232255,173.6031727572863,118.63339457694569,669.4771257259864,24.445235951211078,0.0,66.99307223528565,794.5626553782677,112.04009303032066,173.48610313384637,875.005351232607,1094.4894990681203,1104.6230371237173,1342.4485109062632,1515.988978731993
9_16n,407.5567602647627,355.216301034321,234.86512055381291,173.6299296892372,728.1513217072443,68.64706911239944,66.99307223528565,0.0,854.367095495917,66.20101789450192,120.50300349818613,933.7681015319608,1154.275069465275,1163.930211010615,1401.595080639158,1575.149328971703
4_16n,450.1105574097919,503.97525134777,621.9839712061703,681.7608463675122,157.27634408466176,792.892859010804,794.5626553782677,854.367095495917,0.0,899.5842692978367,964.5171284131084,113.0869197723342,312.8440530092584,331.3582217573701,555.9830540879991,728.2575969255794
6_16n,452.0149179701823,397.56827045815766,279.8602502544199,222.6808394546598,773.6865892715807,114.0222362777755,112.04009303032066,66.20101789450192,899.5842692978367,0.0,77.58066536517677,977.9070396782333,1197.4471669674651,1206.9325233129832,1445.097922843044,1618.6394086784371
7_16n,518.7831249626513,463.66454541154854,345.6910592833014,288.74333670226054,839.7995779819996,176.65231356127603,173.48610313384637,120.50300349818613,964.5171284131084,77.58066536517677,0.0,1045.6044102965727,1265.0355926712982,1275.6059234556242,1512.8890626352772,1686.4683619735918
11_16n,528.6276866103963,584.4869433882691,701.7213023436059,760.3091644423185,232.47439433714231,872.3372751914152,875.005351232607,933.7681015319608,113.0869197723342,977.9070396782333,1045.6044102965727,0.0,232.42766311779246,240.88374419197044,468.8473338542297,642.1238614053058
5_16n,748.0683861170025,802.9394702248666,921.2173090150559,981.02205260191,434.67791966776116,1092.1827488795384,1094.4894990681203,1154.275069465275,312.8440530092584,1197.4471669674651,1265.0355926712982,232.42766311779246,0.0,57.411267717932475,264.9996483925347,431.9724677587524
15_16n,758.2064236027935,813.9401858522459,931.3402854957282,990.6076617397151,445.9138893563,1102.1864058057645,1104.6230371237173,1163.930211010615,331.3582217573701,1206.9325233129832,1275.6059234556242,240.88374419197044,57.411267717932475,0.0,254.1655762308719,421.28006231962365
13_16n,995.7512550508911,1051.0952893938938,1169.067694071761,1228.1432932689986,686.7318653006047,1340.0438875614948,1342.4485109062632,1401.595080639158,555.9830540879991,1445.097922843044,1512.8890626352772,468.8473338542297,264.9996483925347,254.1655762308719,0.0,173.70695910470212
12_16n,1169.1780313140928,1224.5454229855268,1342.5628960492704,1401.657878866894,858.4373600327095,1513.5748783851022,1515.988978731993,1575.149328971703,728.2575969255794,1618.6394086784371,1686.4683619735918,642.1238614053058,431.9724677587524,421.28006231962365,173.70695910470212,0.0
